hardware,model,layer_name,input,kv_cache,latency(ns)
RTX3090,meta-llama/Llama-3.1-8B,o_proj,11,0,47644
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,11,0,23327
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,11,0,147987
RTX3090,meta-llama/Llama-3.1-8B,act_fn,11,0,2827
RTX3090,meta-llama/Llama-3.1-8B,up_proj,11,0,148544
RTX3090,meta-llama/Llama-3.1-8B,down_proj,11,0,145169
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,11,0,22670
RTX3090,meta-llama/Llama-3.1-8B,lm_head,11,0,1226537
RTX3090,meta-llama/Llama-3.1-8B,embedding,12,0,8602
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,12,0,22360
RTX3090,meta-llama/Llama-3.1-8B,q_proj,12,0,46817
RTX3090,meta-llama/Llama-3.1-8B,k_proj,12,0,21856
RTX3090,meta-llama/Llama-3.1-8B,v_proj,12,0,21656
RTX3090,meta-llama/Llama-3.1-8B,rope,12,0,30746
RTX3090,meta-llama/Llama-3.1-8B,attn,12,0,6557
RTX3090,meta-llama/Llama-3.1-8B,o_proj,12,0,47822
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,12,0,23180
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,12,0,147998
RTX3090,meta-llama/Llama-3.1-8B,act_fn,12,0,2856
RTX3090,meta-llama/Llama-3.1-8B,up_proj,12,0,148618
RTX3090,meta-llama/Llama-3.1-8B,down_proj,12,0,145117
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,12,0,22558
RTX3090,meta-llama/Llama-3.1-8B,lm_head,12,0,1229417
RTX3090,meta-llama/Llama-3.1-8B,embedding,13,0,9188
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,13,0,22476
RTX3090,meta-llama/Llama-3.1-8B,q_proj,13,0,46865
RTX3090,meta-llama/Llama-3.1-8B,k_proj,13,0,21854
RTX3090,meta-llama/Llama-3.1-8B,v_proj,13,0,21669
RTX3090,meta-llama/Llama-3.1-8B,rope,13,0,30171
RTX3090,meta-llama/Llama-3.1-8B,attn,13,0,6621
RTX3090,meta-llama/Llama-3.1-8B,o_proj,13,0,47807
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,13,0,23490
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,13,0,148219
RTX3090,meta-llama/Llama-3.1-8B,act_fn,13,0,2906
RTX3090,meta-llama/Llama-3.1-8B,up_proj,13,0,148732
RTX3090,meta-llama/Llama-3.1-8B,down_proj,13,0,145620
RTX3090,meta-llama/Llama-3.1-8B,final_layernorm,13,0,22761
RTX3090,meta-llama/Llama-3.1-8B,lm_head,13,0,1228626
RTX3090,meta-llama/Llama-3.1-8B,embedding,14,0,9683
RTX3090,meta-llama/Llama-3.1-8B,input_layernorm,14,0,22473
RTX3090,meta-llama/Llama-3.1-8B,q_proj,14,0,47158
RTX3090,meta-llama/Llama-3.1-8B,k_proj,14,0,21869
RTX3090,meta-llama/Llama-3.1-8B,v_proj,14,0,21659
RTX3090,meta-llama/Llama-3.1-8B,rope,14,0,30430
RTX3090,meta-llama/Llama-3.1-8B,attn,14,0,6608
RTX3090,meta-llama/Llama-3.1-8B,o_proj,14,0,47796
RTX3090,meta-llama/Llama-3.1-8B,post_layernorm,14,0,23446
RTX3090,meta-llama/Llama-3.1-8B,gate_proj,14,0,148613
RTX3090,meta-llama/Llama-3.1-8B,act_fn,14,0,2928
